1;gov tech;Defense & Space;gov_tech;667
3;tech;Computer Hardware;tech;
4;tech;Computer Software;tech;
5;tech;Computer Networking;tech;
6;tech;Internet;tech;
7;tech;Semiconductors;tech;
8;gov tech;Telecommunications;gov_tech;
9;leg;Law Practice;leg;
10;leg;Legal Services;leg;
11;corp;Management Consulting;corp;
12;gov hlth tech;Biotechnology;gov_hlth_tech;
13;hlth;Medical Practice;hlth;
14;hlth;Hospital & Health Care;hlth;
15;hlth tech;Pharmaceuticals;hlth_tech;
16;hlth;Veterinary;hlth;
17;hlth;Medical Devices;hlth;
18;good;Cosmetics;good;
19;good;Apparel & Fashion;good;
20;good rec;Sporting Goods;good_rec;
21;good;Tobacco;good;
22;good;Supermarkets;good;
23;good man serv;Food Production;good_man_serv;
24;good man;Consumer Electronics;good_man;
25;good man;Consumer Goods;good_man;
26;good man;Furniture;good_man;
27;good man;Retail;good_man;
28;med rec;Entertainment;med_rec;
29;rec;Gambling & Casinos;rec;
30;rec serv tran;Leisure, Travel & Tourism;rec_serv_tran;
31;rec serv tran;Hospitality;rec_serv_tran;
32;rec serv;Restaurants;rec_serv;
33;rec;Sports;rec;
34;rec serv;Food & Beverages;rec_serv;
35;art med rec;Motion Pictures and Film;art_med_rec;
36;med rec;Broadcast Media;med_rec;
37;art med rec;Museums and Institutions;art_med_rec;
38;art med rec;Fine Art;art_med_rec;
39;art med rec;Performing Arts;art_med_rec;
40;rec serv;Recreational Facilities and Services;rec_serv;
41;fin;Banking;fin;
42;fin;Insurance;fin;
43;fin;Financial Services;fin;
44;cons fin good;Real Estate;cons_fin_good;
45;fin;Investment Banking;fin;
46;fin;Investment Management;fin;
47;corp fin;Accounting;corp_fin;
48;cons;Construction;cons;
49;cons;Building Materials;cons;
50;cons;Architecture & Planning;cons;
51;cons gov;Civil Engineering;cons_gov;
52;gov man;Aviation & Aerospace;gov_man;
53;man;Automotive;man;
54;man;Chemicals;man;
55;man;Machinery;man;
56;man;Mining & Metals;man;
57;man;Oil & Energy;man;
58;man;Shipbuilding;man;
59;man;Utilities;man;
60;man;Textiles;man;
61;man;Paper & Forest Products;man;
62;man;Railroad Manufacture;man;
63;agr;Farming;agr;
64;agr;Ranching;agr;
65;agr;Dairy;agr;
66;agr;Fishery;agr;
67;edu;Primary/Secondary Education;edu;
68;edu;Higher Education;edu;
69;edu;Education Management;edu;
70;edu gov;Research;edu_gov;
71;gov;Military;gov;
72;gov leg;Legislative Office;gov_leg;
73;gov leg;Judiciary;gov_leg;
74;gov;International Affairs;gov;
75;gov;Government Administration;gov;
76;gov;Executive Office;gov;
77;gov leg;Law Enforcement;gov_leg;
78;gov;Public Safety;gov;
79;gov;Public Policy;gov;
80;corp med;Marketing and Advertising;corp_med;
81;med rec;Newspapers;med_rec;
82;med rec;Publishing;med_rec;
83;med rec;Printing;med_rec;
84;med serv;Information Services;med_serv;
85;med rec serv;Libraries;med_rec_serv;
86;org serv;Environmental Services;org_serv;
87;serv tran;Package/Freight Delivery;serv_tran;
88;org serv;Individual & Family Services;org_serv;
89;org serv;Religious Institutions;org_serv;
90;org serv;Civic & Social Organization;org_serv;
91;org serv;Consumer Services;org_serv;
92;tran;Transportation/Trucking/Railroad;tran;
93;tran;Warehousing;tran;
94;man tech tran;Airlines/Aviation;man_tech_tran;
95;tran;Maritime;tran;
96;tech;Information Technology and Services;tech;
97;corp;Market Research;corp;
98;corp;Public Relations and Communications;corp;
99;art med;Design;art_med;
100;org;Non-Profit Organization Management;org;
101;org;Fund-Raising;org;
102;corp org;Program Development;corp_org;
103;art med rec;Writing and Editing;art_med_rec;
104;corp;Staffing and Recruiting;corp;
105;corp;Professional Training & Coaching;corp;
106;fin tech;Venture Capital & Private Equity;fin_tech;
107;gov org;Political Organization;gov_org;
108;corp gov serv;Translation and Localization;corp_gov_serv;
109;med rec;Computer Games;med_rec;
110;corp rec serv;Events Services;corp_rec_serv;
111;art med rec;Arts and Crafts;art_med_rec;
112;good man;Electrical/Electronic Manufacturing;good_man;
113;med;Online Media;med;
114;gov man tech;Nanotechnology;gov_man_tech;
115;art rec;Music;art_rec;
116;corp tran;Logistics and Supply Chain;corp_tran;
117;man;Plastics;man;
118;tech;Computer & Network Security;tech;
119;tech;Wireless;tech;
120;leg org;Alternative Dispute Resolution;leg_org;
121;corp org serv;Security and Investigations;corp_org_serv;
122;corp serv;Facilities Services;corp_serv;
123;corp;Outsourcing/Offshoring;corp;
124;hlth rec;Health, Wellness and Fitness;hlth_rec;
125;hlth;Alternative Medicine;hlth;
126;med rec;Media Production;med_rec;
127;art med;Animation;art_med;
128;cons corp fin;Commercial Real Estate;cons_corp_fin;
129;fin;Capital Markets;fin;
130;gov org;Think Tanks;gov_org;
131;org;Philanthropy;org;
132;edu org;E-Learning;edu_org;
133;good;Wholesale;good;
134;corp good tran;Import and Export;corp_good_tran;
135;cons gov man;Mechanical or Industrial Engineering;cons_gov_man;
136;art med rec;Photography;art_med_rec;
137;corp;Human Resources;corp;
138;corp man;Business Supplies and Equipment;corp_man;
139;hlth;Mental Health Care;hlth;
140;art med;Graphic Design;art_med;
141;gov org tran;International Trade and Development;gov_org_tran;
142;good man rec;Wine and Spirits;good_man_rec;
143;good;Luxury Goods & Jewelry;good;
144;gov man org;Renewables & Environment;gov_man_org;
145;cons man;Glass, Ceramics & Concrete;cons_man;
146;good man;Packaging and Containers;good_man;
147;cons man;Industrial Automation;cons_man;
148;gov;Government Relations;gov;
